,Unnamed: 0,reservoir_var,reservoir_db_name,target_var,target_db_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate,subset_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time,delay,r2
78,78,Prok_Taxa00100,ecol_ts,random_01,runif_ts,0.4447,0.5083,0.2612,0.2498,0.1895819,0.1816804,5,0.75,0.6,6,0.6,499,0.5,0,0.1,0.0,0.09,1,0.25836888999999996
79,79,Prok_Taxa00101,ecol_ts,random_01,runif_ts,0.2035,0.3963,0.2872,0.272,0.2291161,0.2153241,3,1.5,0.4,4,0.9,499,0.5,0,0.08,0.0,0.09,1,0.15705369
80,80,Prok_Taxa00102,ecol_ts,random_01,runif_ts,0.2823,0.4896,0.2799,0.2671,0.2176663,0.2077166,3,1.0,0.4,4,0.8,499,0.5,0,0.08,0.0,0.08,1,0.23970815999999998
81,81,Prok_Taxa00104,ecol_ts,random_01,runif_ts,0.2791,0.392,0.2804,0.2688,0.2184063,0.2103718,2,1.0,0.5,3,0.8,499,0.5,0,0.08,0.0,0.09,1,0.15366400000000002
82,82,Prok_Taxa00107,ecol_ts,random_01,runif_ts,0.1944,0.2381,0.2869,0.2835,0.2286597,0.2339965,2,1.5,0.5,3,0.8,499,0.5,0,0.08,0.0,0.08,1,0.05669161
83,83,Prok_Taxa00108,ecol_ts,random_01,runif_ts,0.4779,0.5286,0.2567,0.2461,0.1831073,0.1762681,7,2.0,0.8,8,0.6,499,0.5,0,0.1,0.0,0.11,1,0.27941795999999997
84,84,Prok_Taxa00110,ecol_ts,random_01,runif_ts,0.501,0.5609,0.2525,0.2411,0.1770729,0.1691587,5,1.5,0.6,6,0.7,499,0.5,0,0.1,0.0,0.09,1,0.31460880999999996
85,85,Prok_Taxa00111,ecol_ts,random_01,runif_ts,-0.0283,0.0028,0.3521,0.4003,0.3443285,0.4663766,2,0.1,0.5,3,0.1,499,0.5,0,0.08,0.0,0.08,1,7.84e-06
86,86,Prok_Taxa00113,ecol_ts,random_01,runif_ts,0.2365,0.3486,0.2864,0.2755,0.2279163,0.2210143,3,1.5,0.0,4,0.9,499,0.5,0,0.09,0.0,0.09,1,0.12152196000000001
87,87,Prok_Taxa00114,ecol_ts,random_01,runif_ts,0.3558,0.4668,0.2761,0.2565,0.2117585,0.1915153,4,1.5,0.3,5,0.7,499,0.5,0,0.11,0.0,0.1,1,0.21790224
