"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/05/06 19:24'00","44322.8083333333","  15.7000","","","","","","","",
"2021/05/06 19:25'00","44322.8090277778","  15.4000","","","","","","","",
"2021/05/06 19:26'00","44322.8097222222","  15.1000","","","","","","","",
"2021/05/06 19:27'00","44322.8104166667","  15.0000","","","","","","","",
"2021/05/06 19:28'00","44322.8111111111","  14.9000","","","","","","","",
"2021/05/06 19:29'00","44322.8118055556","  14.8000","","","","","","","",
"2021/05/06 19:30'00","44322.8125000000","  14.7000","","","","","","","",
"2021/05/06 19:31'00","44322.8131944444","  14.7000","","","","","","","",
"2021/05/06 19:32'00","44322.8138888889","  14.9000","","","","","","","",
"2021/05/06 19:33'00","44322.8145833333","  15.1000","","","","","","","",
"2021/05/06 19:34'00","44322.8152777778","  15.4000","","","","","","","",
"2021/05/06 19:35'00","44322.8159722222","  15.7000","","","","","","","",
"2021/05/06 19:36'00","44322.8166666667","  15.9000","","","","","","","",
"2021/05/06 19:37'00","44322.8173611111","  16.3000","","","","","","","",
"2021/05/06 19:38'00","44322.8180555556","  16.5000","","","","","","","",
"2021/05/06 19:39'00","44322.8187500000","  16.8000","","","","","","","",
"2021/05/06 19:40'00","44322.8194444444","  17.1000","","","","","","","",
"2021/05/06 19:41'00","44322.8201388889","  17.3000","","","","","","","",
"2021/05/06 19:42'00","44322.8208333333","  17.5000","","","","","","","",
"2021/05/06 19:43'00","44322.8215277778","  17.7000","","","","","","","",
"2021/05/06 19:44'00","44322.8222222222","  17.7000","","","","","","","",
"2021/05/06 19:45'00","44322.8229166667","  17.9000","","","","","","","",
"2021/05/06 19:46'00","44322.8236111111","  17.9000","","","","","","","",
"2021/05/06 19:47'00","44322.8243055556","  18.0000","","","","","","","",
"2021/05/06 19:48'00","44322.8250000000","  18.0000","","","","","","","",
"2021/05/06 19:49'00","44322.8256944444","  18.0000","","","","","","","",
