"time","x","y","z"
22.99,-11.466308960971,-18.91277015606,19.6943614969897
23.09,-15.8399536048639,-13.930642662894,38.8523394548908
23.19,-8.27949788409317,1.21869105462177,35.9259396809672
23.29,-1.36809843686695,2.80487534689325,26.6303596819454
23.39,1.17749435426522,2.7230765531396,20.4358601288799
23.49,2.62735017952376,4.2956001475443,16.2382831916759
23.59,5.04868124787945,8.47914599754315,14.5511196558872
23.69,9.80893255875367,15.7185469329031,19.1998275976866
23.79,14.4901976884577,15.7138914212781,33.8275478460483
23.89,10.4352187559834,2.90116816345176,36.5703784250461
23.99,3.88368050142853,-0.694290657294121,28.3274288295338
24.09,1.18432626463802,-0.0756258682287349,21.6016227954837
24.19,0.645492643922186,0.61116205741054,16.5633325111832
24.29,0.922095221607091,1.50437528020767,12.7550659231198
24.39,1.94206777153951,3.54073929724069,10.0751303561753
24.49,4.59934636038953,8.66641139275036,9.41789037531974
24.59,10.7239699803845,18.7803442258901,16.61698385068
24.69,16.6908805504335,16.5772494454567,38.5511531317538
24.79,9.12175717703196,-1.76022217860155,37.6501552258352
24.89,0.988853293423293,-4.01108696591866,27.5594373239788
24.99,-2.11526978340447,-4.07988006383403,21.411575424797
25.09,-4.03159012519839,-6.26662974192618,17.7900445439138
25.19,-7.10626459337236,-11.1610242406134,17.8751531308884
25.29,-11.7220442938189,-16.0512260967008,25.6061936494667
25.39,-12.9676872706276,-10.1817719515047,35.6167805097166
25.49,-7.8081374823096,-2.08970084220578,32.475543872381
25.59,-3.6518178017736,-1.21825085866666,25.4952645003226
25.69,-2.55728536884461,-2.55568725180545,19.9822573409029
25.79,-3.39187595542445,-5.06543832225801,16.2550074200493
25.89,-6.11565175427339,-10.0463759547204,15.5549924212247
25.99,-11.1801862490218,-16.7815689155991,22.5345458495286
26.09,-14.1336835115621,-12.578304111171,36.0632503571822
26.19,-8.66801365077901,-1.58538359142156,34.4344509207784
26.29,-3.24676954649305,0.148218414315686,26.5221088408126
26.39,-1.40039209845991,-0.721958265017152,20.351633368005
26.49,-1.37713101678484,-1.89507144109271,15.7345704196073
26.59,-2.44460310942245,-4.17059780930897,12.5413479766121
26.69,-5.24710444811234,-9.42097246322765,11.8474966170125
26.79,-11.1466630422022,-18.3808210132501,19.3948139114263
26.89,-15.713249541435,-14.4970496577157,38.0480901100408
26.99,-8.71246333518127,0.618344597101375,36.1948688212432
27.09,-1.7541740577049,2.52693832555798,26.9088823125725
27.19,0.82710003598045,2.32163739086336,20.5691712936626
27.29,2.12829872685387,3.54183173222156,16.1386899909825
27.39,4.16600433410689,7.08312289310282,13.7971545291904
27.49,8.44548863371329,14.1730071746339,16.4740163342933
27.59,14.2129494130458,18.016671588593,30.4443530636373
27.69,12.2245620902462,5.02004714075256,38.3340301918239
27.79,4.7666123556119,-1.11890183000778,30.2374122944252
27.89,1.09193672397476,-0.811061874148481,22.9130433816636
27.99,0.0558590303397841,-0.435771524180474,17.5251651921465
28.09,-0.27824240784034,-0.561661132567616,13.4288125909643
28.19,-0.66108531952297,-1.21319313444249,10.3211141837015
28.29,-1.5781943527657,-3.00976821804439,8.10505669637749
28.39,-4.0155837479548,-7.83082828085621,7.49225812004281
28.49,-10.0626880202738,-18.482557708197,13.9127107205318
28.59,-17.3350747061001,-18.9635864945447,37.9606645449141
28.69,-9.87432329299679,2.28954344733959,39.196578257826
28.79,-0.599590183357025,5.1540398181272,28.3619948352952
28.89,2.97850730845328,5.24915555741201,22.4134456196376
28.99,5.16434390221114,7.64352389206979,19.4680018719844
29.09,8.32883499356496,12.1523118510192,20.8372483006604
29.19,11.9231980589527,14.3433616594258,28.5948718132995
29.29,11.4225414003709,7.99545031984881,34.2563407797861
29.39,7.0554693354778,2.92176492607804,30.2830647546302
29.49,4.28012877802146,2.90179098666034,24.4477239829276
29.59,4.05743495305596,4.87223291368396,20.0542311158656
29.69,5.84021080502899,8.62124653191178,18.226989745994
29.79,9.55061244978537,13.9076016458986,21.7447460778529
29.89,12.8646193567639,13.8323892658948,31.6862885362276
29.99,10.3807540055226,5.33638073344336,34.4859549549801
30.09,5.55690792421958,1.86012624927564,28.5318956923697
30.19,3.40273884167103,2.6258918608288,22.6125554209941
30.29,3.65506456497756,4.84922510185726,18.4103225928654
30.39,5.82807104937153,9.0669328585175,16.9417798356512
30.49,10.1051960654222,15.0605857537274,21.659134009303
30.59,13.5253120327269,13.798996246411,33.3917680994299
30.69,9.8916609775911,3.80739626443756,34.8404659223735
30.79,4.61134691861159,0.902812035464691,27.8213711995398
30.89,2.53114703506985,1.80259334423327,21.658898418221
30.99,2.71254020941656,3.70701710695695,17.1820328428653
31.09,4.58311402580627,7.46763231927321,14.9008135332484
31.19,8.77677944440491,14.2559085404462,17.8376637605364
31.29,13.9602833707051,16.9521619916615,31.0123634895982
31.39,11.7150190908655,4.9992344748981,37.3642467842791
31.49,4.92817976589983,-0.383461435358655,29.7777701240487
31.59,1.64667804071009,0.0288501122569046,22.7215145779363
31.69,0.93979144743315,0.8894476238467,17.4470706471068
31.79,1.30975727543516,2.09341180550614,13.502435413441
31.89,2.67414389674766,4.79492653915159,10.9237577825588
31.99,6.10295712775538,11.184413272788,11.3832334449526
32.09,12.9057489080313,20.4231738053036,22.6808467202447
32.19,15.434681438871,10.3576629551966,40.8679315475133
32.29,6.46028988242476,-2.5720011447731,34.1029363078981
32.39,0.372812499660429,-3.10956459705366,25.3585476004692
32.49,-1.85155763804532,-3.40777859492977,19.6863024458874
32.59,-3.56963588744124,-5.74999611358618,16.1548350430934
32.69,-6.72371105440003,-11.044305826656,16.1385889417066
32.79,-11.9298280213655,-17.1519616562305,24.5758502941554
32.89,-13.7135802927231,-10.6616047672302,36.8430127467142
32.99,-7.69997015929712,-1.02112680734763,33.2141060733636
33.09,-2.89726267487237,-0.0755250667089906,25.529409088958
33.19,-1.45560333741458,-1.0510318438018,19.638946066585
33.29,-1.67670576215346,-2.457228408331,15.2673824539482
33.39,-3.11555347420559,-5.36858786824758,12.4894778835547
33.49,-6.67225570287879,-11.8051127367796,13.2039587743771
33.59,-13.1115652967488,-19.6300769061314,24.723384525142
33.69,-14.5424279587021,-9.15938086238399,39.8776085202978
33.79,-6.2843553360454,1.68456492221206,33.1347652842841
33.89,-0.948155217621068,2.06393593653872,24.8075782532801
33.99,0.883544605632022,2.02986684982624,19.0274197952872
34.09,2.0276085746295,3.41151543763322,14.9193842680517
34.19,4.11214555846382,7.1566416800931,12.8173841681159
34.29,8.63888868468056,14.7448615176753,15.9703937987551
34.39,14.7033925018786,18.4266707217145,31.3563239086945
34.49,12.0436094756152,3.9833300654161,38.7516474360858
34.59,4.16265312066799,-1.78550617576398,29.9254409195748
34.69,0.486851085121746,-1.45155256215098,22.6288631636677
34.79,-0.713598022220526,-1.52867355247023,17.3610634755603
34.89,-1.61860221987198,-2.7926699312196,13.5154415744917
34.99,-3.45219491458605,-6.19459268463941,11.3238924793356
35.09,-7.71770441403103,-13.7652678792383,13.5298636630967
35.19,-14.589251487999,-20.2067476582785,28.7717849163706
35.29,-13.3730356770732,-5.2262471144887,40.4113330080449
35.39,-4.45208276405526,2.70658989618198,31.2286324365339
35.49,0.0706398260954324,2.55872756095806,23.5051099305791
35.59,1.75474237334108,3.09336721216184,18.2564430227208
35.69,3.40318655912371,5.62356180939602,14.9524436513743
35.79,6.70460743846592,11.3045180201226,15.1725691642597
35.89,12.320107424897,17.9688500377787,24.6060820978163
35.99,14.0187229083351,10.2456436394822,37.8727898232907
36.09,7.25725222441392,0.110152226009081,33.2264908766323
36.19,2.25603762246035,-0.626654393813475,25.2358407210122
36.29,0.703334120932526,0.0842794150525995,19.294036032227
36.39,0.518894015550231,0.649683308432241,14.7953271322617
36.49,0.896512783459445,1.55247219990961,11.3974529933578
36.59,2.0167366641685,3.76823176419218,9.05744367945273
36.69,4.9472099985739,9.44814168352642,8.89785059179875
36.79,11.6327334372001,20.157634096183,17.9018893596492
36.89,16.8478237346162,14.5651541135839,40.6948883953934
36.99,7.85529219037614,-3.08124405458793,36.5685586474098
37.09,0.144999581880419,-4.40384184876801,26.8342011839364
37.19,-2.75086662113643,-4.73678258201846,21.1694748418863
37.29,-4.85524093180802,-7.41230947063947,18.2285031641159
37.39,-8.25840907692363,-12.5043934996884,19.7442234124755
37.49,-12.3804749935176,-15.2491979537948,28.7027530968277
