,Taxa,w_in_sp_opt,w_in_st_opt,w_bc_sp_opt,w_bc_st_opt,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test
293,Prok_Taxa00390,0.4,1.0,0.2,2.0,0.9791,0.8276,0.0508,0.1439,0.006707,0.0533705
294,Prok_Taxa00391,0.2,0.5,0.4,2.0,0.9806,0.8331,0.0488,0.1417,0.0062055,0.0517677
295,Prok_Taxa00393,0.6,1.0,0.6,0.5,0.9682,0.2161,0.0625,0.2477,0.0101502,0.1581344
296,Prok_Taxa00394,0.0,2.0,0.2,1.0,0.986,0.7686,0.0415,0.1667,0.00449,0.0716259
297,Prok_Taxa00396,0.2,0.8,0.6,2.0,0.9845,0.8048,0.0438,0.1501,0.0049796,0.0580748
298,Prok_Taxa00398,0.0,1.0,0.4,0.5,0.925,0.4316,0.0948,0.2451,0.0233695,0.1547985
299,Prok_Taxa00399,0.4,0.5,0.0,0.8,0.9479,0.1394,0.0795,0.2494,0.016429,0.1602409
300,Prok_Taxa00400,0.6,1.5,0.6,0.5,0.9197,0.0919,0.0979,0.2511,0.0249547,0.1625012
301,Prok_Taxa00402,0.0,1.5,0.4,0.8,0.9124,0.1047,0.1021,0.2493,0.0271083,0.1601713
302,Prok_Taxa00403,0.0,1.0,0.0,0.8,0.9083,0.1709,0.1043,0.2474,0.0283042,0.1577031
303,Prok_Taxa00404,0.0,0.5,0.0,0.8,0.9181,0.0788,0.0989,0.25,0.0254709,0.1610574
304,Prok_Taxa00405,0.0,1.5,0.6,1.0,0.9416,0.1215,0.084,0.2489,0.0183508,0.1597011
305,Prok_Taxa00406,0.4,2.0,0.2,0.5,0.9824,0.8533,0.0466,0.1337,0.0056541,0.0460637
306,Prok_Taxa00409,0.8,1.0,0.8,0.5,0.9775,0.8682,0.0532,0.1317,0.0073618,0.0447207
307,Prok_Taxa00413,0.9,0.5,0.9,2.0,0.9915,0.8638,0.0324,0.1266,0.0027336,0.0412774
308,Prok_Taxa00414,0.2,0.8,0.6,0.8,0.9751,0.7937,0.0553,0.1602,0.0079616,0.066112
309,Prok_Taxa00415,0.6,2.0,0.6,0.5,0.982,0.825,0.0471,0.142,0.0057813,0.0519488
