"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/04/12 21:49'16","44298.9092129630","  25.2000","","","","","","","",
"2021/04/12 21:50'16","44298.9099074074","  25.2000","","","","","","","",
"2021/04/12 21:51'16","44298.9106018519","  25.1000","","","","","","","",
"2021/04/12 21:52'16","44298.9112962963","  25.1000","","","","","","","",
"2021/04/12 21:53'16","44298.9119907407","  25.0000","","","","","","","",
"2021/04/12 21:54'16","44298.9126851852","  24.9000","","","","","","","",
"2021/04/12 21:55'16","44298.9133796296","  24.8000","","","","","","","",
"2021/04/12 21:56'16","44298.9140740741","  24.7000","","","","","","","",
"2021/04/12 21:57'16","44298.9147685185","  24.7000","","","","","","","",
"2021/04/12 21:58'16","44298.9154629630","  25.3000","","","","","","","",
"2021/04/12 21:59'16","44298.9161574074","  25.2000","","","","","","","",
"2021/04/12 22:00'16","44298.9168518519","  25.6000","","","","","","","",
"2021/04/12 22:01'16","44298.9175462963","  25.5000","","","","","","","",
"2021/04/12 22:02'16","44298.9182407407","  25.7000","","","","","","","",
"2021/04/12 22:03'16","44298.9189351852","  25.6000","","","","","","","",
"2021/04/12 22:04'16","44298.9196296296","  25.7000","","","","","","","",
"2021/04/12 22:05'16","44298.9203240741","  25.6000","","","","","","","",
"2021/04/12 22:06'16","44298.9210185185","  25.8000","","","","","","","",
"2021/04/12 22:07'16","44298.9217129630","  25.4000","","","","","","","",
"2021/04/12 22:08'16","44298.9224074074","  25.3000","","","","","","","",
"2021/04/12 22:09'16","44298.9231018519","  25.2000","","","","","","","",
"2021/04/12 22:10'16","44298.9237962963","  25.2000","","","","","","","",
"2021/04/12 22:11'16","44298.9244907407","  25.1000","","","","","","","",
"2021/04/12 22:12'16","44298.9251851852","  25.0000","","","","","","","",
"2021/04/12 22:13'16","44298.9258796296","  24.9000","","","","","","","",
"2021/04/12 22:14'16","44298.9265740741","  24.8000","","","","","","","",
"2021/04/12 22:15'16","44298.9272685185","  24.7000","","","","","","","",
"2021/04/12 22:16'16","44298.9279629630","  24.7000","","","","","","","",
"2021/04/12 22:17'16","44298.9286574074","  25.3000","","","","","","","",
"2021/04/12 22:18'16","44298.9293518519","  25.2000","","","","","","","",
"2021/04/12 22:19'16","44298.9300462963","  25.5000","","","","","","","",
"2021/04/12 22:20'16","44298.9307407407","  25.5000","","","","","","","",
"2021/04/12 22:21'16","44298.9314351852","  25.6000","","","","","","","",
"2021/04/12 22:22'16","44298.9321296296","  25.2000","","","","","","","",
