"< Measurement Data Text Output >"
""
"Date/Time","@date()","ch.1","ch.2","ch.3","ch.4","ch.5","ch.6","ch.7","ch.8"
"","","ßC","","","","","","",""
"2021/02/25 21:41'00","44252.9034722222","  18.1000","","","","","","","",
"2021/02/25 21:42'00","44252.9041666667","  18.6000","","","","","","","",
"2021/02/25 21:43'00","44252.9048611111","  18.6000","","","","","","","",
"2021/02/25 21:44'00","44252.9055555556","  18.0000","","","","","","","",
"2021/02/25 21:45'00","44252.9062500000","  17.3000","","","","","","","",
"2021/02/25 21:46'00","44252.9069444444","  16.5000","","","","","","","",
"2021/02/25 21:47'00","44252.9076388889","  15.9000","","","","","","","",
"2021/02/25 21:48'00","44252.9083333333","  15.8000","","","","","","","",
"2021/02/25 21:49'00","44252.9090277778","  15.9000","","","","","","","",
"2021/02/25 21:50'00","44252.9097222222","  16.3000","","","","","","","",
"2021/02/25 21:51'00","44252.9104166667","  16.7000","","","","","","","",
"2021/02/25 21:52'00","44252.9111111111","  16.7000","","","","","","","",
"2021/02/25 21:53'00","44252.9118055556","  16.7000","","","","","","","",
"2021/02/25 21:54'00","44252.9125000000","  16.5000","","","","","","","",
"2021/02/25 21:55'00","44252.9131944444","  16.3000","","","","","","","",
"2021/02/25 21:56'00","44252.9138888889","  16.0000","","","","","","","",
"2021/02/25 21:57'00","44252.9145833333","  15.7000","","","","","","","",
"2021/02/25 21:58'00","44252.9152777778","  15.4000","","","","","","","",
"2021/02/25 21:59'00","44252.9159722222","  15.2000","","","","","","","",
"2021/02/25 22:00'00","44252.9166666667","  15.0000","","","","","","","",
"2021/02/25 22:01'00","44252.9173611111","  14.7000","","","","","","","",
"2021/02/25 22:02'00","44252.9180555556","  14.5000","","","","","","","",
"2021/02/25 22:03'00","44252.9187500000","  14.5000","","","","","","","",
"2021/02/25 22:04'00","44252.9194444444","  14.5000","","","","","","","",
"2021/02/25 22:05'00","44252.9201388889","  14.8000","","","","","","","",
"2021/02/25 22:06'00","44252.9208333333","  15.0000","","","","","","","",
"2021/02/25 22:07'00","44252.9215277778","  15.5000","","","","","","","",
"2021/02/25 22:08'00","44252.9222222222","  16.1000","","","","","","","",
"2021/02/25 22:09'00","44252.9229166667","  16.9000","","","","","","","",
"2021/02/25 22:10'00","44252.9236111111","  17.5000","","","","","","","",
"2021/02/25 22:11'00","44252.9243055556","  18.4000","","","","","","","",
"2021/02/25 22:12'00","44252.9250000000","  19.1000","","","","","","","",
"2021/02/25 22:13'00","44252.9256944444","  19.9000","","","","","","","",
"2021/02/25 22:14'00","44252.9263888889","  20.7000","","","","","","","",
"2021/02/25 22:15'00","44252.9270833333","  21.3000","","","","","","","",
"2021/02/25 22:16'00","44252.9277777778","  22.1000","","","","","","","",
"2021/02/25 22:17'00","44252.9284722222","  22.3000","","","","","","","",
"2021/02/25 22:18'00","44252.9291666667","  22.2000","","","","","","","",
"2021/02/25 22:19'00","44252.9298611111","  21.6000","","","","","","","",
"2021/02/25 22:20'00","44252.9305555556","  21.0000","","","","","","","",
"2021/02/25 22:21'00","44252.9312500000","  20.2000","","","","","","","",
"2021/02/25 22:22'00","44252.9319444444","  19.9000","","","","","","","",
"2021/02/25 22:23'00","44252.9326388889","  19.8000","","","","","","","",
"2021/02/25 22:24'00","44252.9333333333","  20.1000","","","","","","","",
"2021/02/25 22:25'00","44252.9340277778","  20.5000","","","","","","","",
"2021/02/25 22:26'00","44252.9347222222","  21.1000","","","","","","","",
