,reservoir_var,reservoir_db_name,target_var,target_db_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,num_nodes,Win_strength,Win_sparsity,n_neighbors,leak_rate,subset_size,test_fraction,washout_data,training_time,learnmodel_time,testing_time
0,Prok_Taxa00676,ecol_ts,input,narma02,0.895,0.8947,0.0792,0.0717,0.0188846,0.015128,3,1.5,0.0,4,0.6,499,0.5,0,0.08,0.0,0.09
0,Prok_Taxa00678,ecol_ts,input,narma02,0.0998,0.3552,0.2713,0.148,0.2217292,0.0643552,4,0.25,0.5,5,0.6,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00679,ecol_ts,input,narma02,0.9025,0.9136,0.0725,0.0656,0.0158258,0.0126329,3,0.75,0.4,4,0.6,499,0.5,0,0.1,0.0,0.09
0,Prok_Taxa00681,ecol_ts,input,narma02,0.0127,0.4823,0.2277,0.1357,0.1561373,0.0540964,2,2.0,0.5,3,0.3,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00690,ecol_ts,input,narma02,0.926,0.9274,0.0627,0.0579,0.0118593,0.0098553,7,1.0,0.3,8,0.6,499,0.5,0,0.09,0.0,0.08
0,Prok_Taxa00691,ecol_ts,input,narma02,0.869,0.8934,0.0819,0.0695,0.0201921,0.0141792,4,2.0,0.3,5,0.1,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00692,ecol_ts,input,narma02,0.9015,0.9007,0.071,0.0675,0.015193,0.013385,3,2.0,0.4,4,0.6,499,0.5,0,0.09,0.0,0.1
0,Prok_Taxa00698,ecol_ts,input,narma02,0.9316,0.9415,0.0663,0.053,0.0132258,0.0082683,7,0.25,0.2,8,0.4,499,0.5,0,0.08,0.0,0.09
0,Prok_Taxa00700,ecol_ts,input,narma02,0.8981,0.913,0.0742,0.0635,0.0165916,0.0118645,3,1.5,0.4,4,0.6,499,0.5,0,0.09,0.0,0.08
0,Prok_Taxa00702,ecol_ts,input,narma02,0.9003,0.9045,0.0719,0.0654,0.0155833,0.0125771,20,2.0,0.1,21,0.4,499,0.5,0,0.1,0.0,0.1
0,Prok_Taxa00706,ecol_ts,input,narma02,0.9561,0.9602,0.0495,0.0453,0.0073816,0.0060401,11,2.0,0.2,12,0.3,499,0.5,0,0.1,0.0,0.12
0,Prok_Taxa00711,ecol_ts,input,narma02,0.8725,0.8923,0.0855,0.0745,0.0220175,0.0163071,3,0.5,0.4,4,0.7,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00714,ecol_ts,input,narma02,0.8819,0.93,0.078,0.0597,0.0183159,0.0104815,10,2.0,0.7,11,0.4,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00716,ecol_ts,input,narma02,0.8543,0.8646,0.0854,0.077,0.0219539,0.0174427,3,2.0,0.4,4,0.5,499,0.5,0,0.09,0.0,0.08
0,Prok_Taxa00718,ecol_ts,input,narma02,0.9445,0.9595,0.0641,0.0457,0.0123653,0.0061305,12,2.0,0.7,13,0.4,499,0.5,0,0.09,0.0,0.1
0,Prok_Taxa00721,ecol_ts,input,narma02,0.9133,0.9342,0.0669,0.0561,0.0134692,0.0092564,10,1.5,0.6,11,0.6,499,0.5,0,0.1,0.0,0.1
0,Prok_Taxa00723,ecol_ts,input,narma02,0.9264,0.9457,0.0636,0.0542,0.0121737,0.0086296,7,1.5,0.5,8,0.5,499,0.5,0,0.09,0.0,0.08
0,Prok_Taxa00730,ecol_ts,input,narma02,0.3315,0.3303,0.1725,0.1632,0.0896041,0.0783184,2,0.75,0.5,3,0.9,499,0.5,0,0.09,0.0,0.08
0,Prok_Taxa00731,ecol_ts,input,narma02,0.9326,0.95,0.0688,0.0489,0.0142601,0.0070365,8,0.75,0.2,9,0.6,499,0.5,0,0.12,0.0,0.1
0,Prok_Taxa00735,ecol_ts,input,narma02,0.9422,0.9445,0.055,0.0514,0.0091188,0.0077779,8,2.0,0.2,9,0.5,499,0.5,0,0.08,0.0,0.1
0,Prok_Taxa00737,ecol_ts,input,narma02,0.8832,0.8852,0.0825,0.0744,0.0204941,0.0162924,3,0.75,0.0,4,0.6,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00742,ecol_ts,input,narma02,0.925,0.9219,0.0627,0.0597,0.0118374,0.0104814,6,1.5,0.5,7,0.2,499,0.5,0,0.11,0.0,0.09
0,Prok_Taxa00743,ecol_ts,input,narma02,0.8775,0.8854,0.0788,0.0712,0.0187204,0.0149095,10,2.0,0.2,11,0.6,499,0.5,0,0.09,0.0,0.1
0,Prok_Taxa00748,ecol_ts,input,narma02,0.9329,0.945,0.0592,0.0506,0.0105534,0.0075161,12,2.0,0.1,13,0.4,499,0.5,0,0.1,0.0,0.09
0,Prok_Taxa00750,ecol_ts,input,narma02,0.9309,0.9442,0.0603,0.0509,0.0109718,0.0076145,9,0.75,0.0,10,0.4,499,0.5,0,0.08,0.0,0.09
0,Prok_Taxa00760,ecol_ts,input,narma02,0.9002,0.9363,0.0718,0.0538,0.015534,0.0084983,5,1.0,0.2,6,0.6,499,0.5,0,0.09,0.0,0.09
0,Prok_Taxa00766,ecol_ts,input,narma02,0.9294,0.9389,0.0606,0.0527,0.0110535,0.0081607,7,1.5,0.0,8,0.4,499,0.5,0,0.1,0.0,0.08
0,Prok_Taxa00767,ecol_ts,input,narma02,0.7702,0.8551,0.1052,0.0808,0.0333124,0.0191797,3,1.5,0.4,4,0.8,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00768,ecol_ts,input,narma02,0.4412,0.6819,0.1626,0.1167,0.0796254,0.0400215,2,0.1,0.0,3,0.8,499,0.5,0,0.08,0.0,0.08
0,Prok_Taxa00770,ecol_ts,input,narma02,0.9588,0.9659,0.0469,0.0403,0.006633,0.0047729,20,2.0,0.7,21,0.5,499,0.5,0,0.1,0.0,0.1
0,Prok_Taxa00814,ecol_ts,input,narma02,0.9327,0.9513,0.0634,0.0473,0.0121171,0.0065776,15,0.75,0.5,16,0.4,499,0.5,0,0.1,0.0,0.1
