2021-04-15_18-26-13.jpg; date_time: 2021-04-15 18:26:13; grid_n: 1; count: 12; total_area: 2493; mean_area: 207.75; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-27-13.jpg; date_time: 2021-04-15 18:27:13; grid_n: 1; count: 14; total_area: 2884; mean_area: 206; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-28-13.jpg; date_time: 2021-04-15 18:28:13; grid_n: 1; count: 11; total_area: 2220; mean_area: 201.82; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-29-13.jpg; date_time: 2021-04-15 18:29:13; grid_n: 1; count: 10; total_area: 1785; mean_area: 178.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-30-13.jpg; date_time: 2021-04-15 18:30:13; grid_n: 1; count: 8; total_area: 1476; mean_area: 184.5; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-31-13.jpg; date_time: 2021-04-15 18:31:13; grid_n: 1; count: 9; total_area: 1571; mean_area: 174.56; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-32-13.jpg; date_time: 2021-04-15 18:32:13; grid_n: 1; count: 10; total_area: 1552; mean_area: 155.2; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-33-13.jpg; date_time: 2021-04-15 18:33:13; grid_n: 1; count: 8; total_area: 1624; mean_area: 203; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-34-13.jpg; date_time: 2021-04-15 18:34:13; grid_n: 1; count: 11; total_area: 1871; mean_area: 170.09; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-35-13.jpg; date_time: 2021-04-15 18:35:13; grid_n: 1; count: 11; total_area: 1739; mean_area: 158.09; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-36-13.jpg; date_time: 2021-04-15 18:36:13; grid_n: 1; count: 13; total_area: 2407; mean_area: 185.15; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-37-13.jpg; date_time: 2021-04-15 18:37:13; grid_n: 1; count: 16; total_area: 3004; mean_area: 187.75; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
2021-04-15_18-38-13.jpg; date_time: 2021-04-15 18:38:13; grid_n: 1; count: 13; total_area: 2504; mean_area: 192.62; NNdist_mean: nan; NNdist_sd: nan; NNdist_skew: nan; NNdist_kurt: nan
