reservoir_name,reservoir_E,train_ridge_score,train_cor,train_r2,train_rmse,train_nmse,test_ridge_score,test_cor,test_r2,test_rmse,test_nmse,washout_data,learnmodel_time,testing_time,E,pred_tp,temporal_cor,temporal_r2,ridge_train_cor,ridge_train_r2,ridge_train_score,ridge_train_rmse,ridge_train_nmse,ridge_test_cor,ridge_test_r2,ridge_test_rmse,ridge_test_nmse
Tetrahymena Reservoir,6,0.5012,0.708,0.5013,0.590934,0.430702,-0.6854,0.0375,0.0014,1.353195,1.559532,0,0.0,0.0,6,20,0.7233070538970452,0.523173094217223,0.6705445434349473,0.4496299847303819,0.6705445434349473,0.6207304769808751,0.47523250993190685,0.7233070538970451,0.5231730942172229,0.7883526931087433,0.529315189350414
Tetrahymena Reservoir,6,0.4905,0.7004,0.4905,0.59746,0.438966,-0.7015,0.0194,0.0004,1.358064,1.572023,0,0.0,0.0,6,21,0.7095026049433051,0.5033939464213356,0.6521585484169294,0.4253107722732765,0.6521585484169294,0.6345102406521477,0.49509760086175336,0.7095026049433056,0.5033939464213364,0.8067527220671371,0.5547521975764833
Tetrahymena Reservoir,6,0.481,0.6936,0.4811,0.603074,0.4467,-0.7143,-0.0019,0.0,1.363189,1.58391,0,0.0,0.0,6,22,0.6961651419208257,0.48464590482564335,0.6327904639956036,0.40042377132377127,0.6327904639956036,0.648193834708161,0.5160427183596518,0.6961651419208265,0.48464590482564446,0.8246348395339639,0.5796175284496212
Tetrahymena Reservoir,6,0.4695,0.6853,0.4696,0.609804,0.456135,-0.7222,-0.0218,0.0005,1.366304,1.591157,0,0.0,0.0,6,23,0.6823574267787881,0.4656116578801691,0.6132340999427809,0.3760560613326326,0.6132340999427809,0.6613655275700924,0.5365320136464745,0.6823574267787886,0.4656116578801699,0.8424781543863207,0.6049722431341346
Tetrahymena Reservoir,6,0.456,0.6753,0.456,0.617824,0.466888,-0.736,-0.042,0.0018,1.370425,1.601644,0,0.0,0.0,6,24,0.6671680284326463,0.4451131781627044,0.5945155983596753,0.3534487966929627,0.5945155983596753,0.6735164903824211,0.5548545434461225,0.667168028432646,0.44511317816270396,0.8606244843061687,0.6316594577348442
Tetrahymena Reservoir,6,0.4421,0.6649,0.4422,0.625851,0.477829,-0.7487,-0.0631,0.004,1.374182,1.61113,0,0.0,0.0,6,25,0.6521494055198671,0.42529884711991606,0.5757224088219774,0.33145629201978016,0.5757224088219774,0.6851000645948092,0.572583601486355,0.6521494055198679,0.4252988471199171,0.8782061991038677,0.6580133321134946
Tetrahymena Reservoir,6,0.4298,0.6557,0.4299,0.632844,0.487907,-0.758,-0.0872,0.0076,1.377826,1.619685,0,0.0,0.0,6,26,0.6388860395175229,0.4081753714903858,0.5560009290507658,0.3091370331053147,0.5560009290507658,0.6966144392201502,0.5911918309546135,0.6388860395175227,0.4081753714903855,0.8943698665450849,0.6824581318482755
Tetrahymena Reservoir,6,0.4162,0.6452,0.4163,0.640472,0.499088,-0.7638,-0.1088,0.0118,1.38012,1.625082,0,0.0,0.0,6,27,0.6265420581923248,0.39255495068387447,0.5361614144618448,0.2874690623577262,0.5361614144618448,0.7075873939811951,0.6091685692281855,0.6265420581923251,0.3925549506838749,0.909644595278004,0.7059682719521498
Tetrahymena Reservoir,6,0.4024,0.6344,0.4025,0.648027,0.509804,-0.7737,-0.1326,0.0176,1.382903,1.631968,0,0.0,0.0,6,28,0.6141080410272721,0.37712868605435373,0.5172135694558097,0.26750987642921964,0.5172135694558097,0.7174694700651151,0.6249193197508074,0.6141080410272722,0.3771286860543539,0.9246119346201039,0.7295369224160291
Tetrahymena Reservoir,6,0.389,0.6237,0.3891,0.655216,0.520096,-0.7833,-0.1574,0.0248,1.385567,1.638591,0,0.0,0.0,6,29,0.6029518559843935,0.3635509406350248,0.4981282361620991,0.24813173966196397,0.4981282361620991,0.7268364716118412,0.6400112446922581,0.602951855984393,0.36355094063502424,0.9387231408245398,0.7521253387459267
Tetrahymena Reservoir,6,0.3785,0.6153,0.3786,0.660747,0.528357,-0.79,-0.1839,0.0338,1.388168,1.644747,0,0.0,0.0,6,30,0.5945605079572348,0.35350219762236507,0.4780196898146736,0.22850282385051673,0.4780196898146736,0.7361998513906927,0.6559160456074907,0.5945605079572353,0.3535021976223656,0.9512862668469313,0.7723917501436033
Tetrahymena Reservoir,6,0.3691,0.6076,0.3691,0.665647,0.535696,-0.8002,-0.2122,0.045,1.392118,1.65412,0,0.0,0.0,6,31,0.5873585940451902,0.3449901179987425,0.457769383412039,0.20955280838943835,0.457769383412039,0.7450654292598661,0.6711510290894656,0.58735859404519,0.3449901179987423,0.9633032434888941,0.7920292440988213
Tetrahymena Reservoir,6,0.36,0.6,0.36,0.67022,0.54212,-0.8108,-0.2387,0.057,1.395238,1.661693,0,0.0,0.0,6,32,0.5798065097241395,0.3361755887184887,0.4385163307690874,0.1922965723511837,0.4385163307690874,0.7529183464869703,0.6841583593019657,0.5798065097241388,0.3361755887184879,0.9755711161579161,0.8124043448648897
Tetrahymena Reservoir,6,0.3515,0.5929,0.3515,0.674441,0.547957,-0.8206,-0.2639,0.0696,1.3979,1.668375,0,0.0,0.0,6,33,0.5728710996191337,0.32818129677883545,0.41915185410039113,0.17568827679579557,0.41915185410039113,0.7603629352323487,0.6964675103749823,0.5728710996191336,0.32818129677883534,0.9877336315663732,0.8329548185720127
Tetrahymena Reservoir,6,0.3471,0.5892,0.3471,0.676538,0.550873,-0.8266,-0.2893,0.0837,1.400203,1.673878,0,0.0,0.0,6,34,0.5678507395191561,0.32245446237245246,0.398524475241517,0.1588217573665265,0.398524475241517,0.7679057037300657,0.7097125964527384,0.5678507395191563,0.32245446237245273,0.9992505742268528,0.8524925160939439
Tetrahymena Reservoir,6,0.3411,0.5841,0.3411,0.679473,0.55516,-0.8323,-0.3131,0.098,1.402408,1.679153,0,0.0,0.0,6,35,0.5628263726460323,0.3167735257458904,0.37770093392470816,0.14265799548759675,0.37770093392470816,0.7750464128259231,0.722318909128133,0.5628263726460322,0.3167735257458903,1.0110593330973225,0.87276042901119
Tetrahymena Reservoir,6,0.3352,0.579,0.3352,0.682203,0.558646,-0.8412,-0.3339,0.1115,1.404687,1.684956,0,0.0,0.0,6,36,0.556042043782147,0.30918275445342713,0.3579220173132096,0.12810817047755751,0.3579220173132096,0.781248389906992,0.7326346150391815,0.556042043782147,0.30918275445342713,1.02391471986204,0.8952761716710781
Tetrahymena Reservoir,6,0.3291,0.5737,0.3292,0.685032,0.56221,-0.8485,-0.3537,0.1251,1.406194,1.68911,0,0.0,0.0,6,37,0.5485596660848189,0.300917707255088,0.33814368412748913,0.11434115111531114,0.33814368412748913,0.7870846061046626,0.7421970851827617,0.5485596660848197,0.3009177072550888,1.0371883763845755,0.9189301367105615
Tetrahymena Reservoir,6,0.3248,0.5699,0.3248,0.687009,0.564994,-0.8514,-0.3718,0.1382,1.407321,1.691819,0,0.0,0.0,6,38,0.5418093389942459,0.29355735982138165,0.316975849876811,0.10047368940512662,0.316975849876811,0.7929361669685392,0.7526529458434582,0.5418093389942462,0.29355735982138204,1.0503476127342473,0.9423957479447659
Tetrahymena Reservoir,6,0.3201,0.5658,0.3202,0.689109,0.567983,-0.8477,-0.3886,0.151,1.405907,1.68842,0,0.0,0.0,6,39,0.534075392585228,0.28523652496506535,0.29578598054477695,0.08748934628683516,0.29578598054477695,0.7983459243569286,0.7623274918520483,0.5340753925852275,0.2852365249650649,1.0639299900710666,0.9669261695960834
Tetrahymena Reservoir,6,0.3141,0.5605,0.3141,0.691925,0.571444,-0.845,-0.4029,0.1623,1.403501,1.683382,0,0.0,0.0,6,40,0.523573940255959,0.27412967091515056,0.2763919616340218,0.07639251645590257,0.2763919616340218,0.8029041043793194,0.7694536216404257,0.5235739402559593,0.2741296709151508,1.0782155283186172,0.9935003490993444
Tetrahymena Reservoir,6,0.3076,0.5547,0.3077,0.694956,0.575167,-0.8384,-0.4157,0.1728,1.399482,1.674693,0,0.0,0.0,6,41,0.5119219906011471,0.2620641244610409,0.25742235706783273,0.06626626991835877,0.25742235706783273,0.8070574927976379,0.7756894542969964,0.5119219906011473,0.26206412446104116,1.0925382858535362,1.0206423261536792
