,network_name,train_pred,test_pred,trian_RMSE,test_RMSE,trian_NMSE,test_NMSE,total_nodes,learning_time,n_network,E,NMSE_test,num_nodes,Win_strength,Win_sparsity,alpha,W_sparsity,leak_rate,data_size
90,Combined_Network,0.9723,0.969,0.0537,0.0561,0.008994,0.0102202,455,0.06,91,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
91,Combined_Network,0.9724,0.9691,0.0535,0.056,0.0089451,0.0101669,460,0.1,92,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
92,Combined_Network,0.9725,0.9692,0.0535,0.0559,0.0089312,0.0101522,465,0.09,93,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
93,Combined_Network,0.9735,0.9702,0.0525,0.055,0.0086126,0.0098192,470,0.11,94,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
94,Combined_Network,0.9735,0.9702,0.0525,0.055,0.008604,0.0098235,475,0.07,95,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
95,Combined_Network,0.9737,0.9703,0.0523,0.0549,0.0085324,0.0097872,480,0.07,96,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
96,Combined_Network,0.9738,0.9704,0.0522,0.0549,0.0085134,0.0097658,485,0.1,97,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
97,Combined_Network,0.9742,0.9708,0.0519,0.0545,0.0083989,0.009628,490,0.08,98,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
98,Combined_Network,0.9742,0.9709,0.0518,0.0544,0.0083805,0.009605,495,0.07,99,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
99,Combined_Network,0.9743,0.971,0.0517,0.0543,0.0083481,0.0095579,500,0.08,100,5,0.0282597,5,2.0,0.0,0.99,0.5,0,900
