,network_name,train_pred,test_pred,RMSE_train,RMSE_test,NMSE_train,NMSE_test,total_nodes,learning_time,n_network,E,NMSE_test,num_nodes,Win_strength,Win_sparsity,n_neighbors
81,Combined_Network,0.9857,0.9855,0.0388,0.0384,0.0046984,0.0047771,372,0.01,82,372,0.0404673,4,1.3,0.3,5
82,Combined_Network,0.9857,0.9855,0.0388,0.0384,0.0046966,0.0047751,374,0.01,83,374,0.0404673,4,1.3,0.3,5
83,Combined_Network,0.9858,0.9856,0.0387,0.0383,0.0046683,0.0047647,381,0.02,84,381,0.0404673,4,1.3,0.3,5
84,Combined_Network,0.9861,0.9861,0.0384,0.0376,0.0045902,0.0045992,386,0.02,85,386,0.0404673,4,1.3,0.3,5
85,Combined_Network,0.9861,0.9861,0.0384,0.0376,0.0045896,0.0045988,388,0.02,86,388,0.0404673,4,1.3,0.3,5
86,Combined_Network,0.9861,0.9861,0.0383,0.0376,0.0045756,0.0045976,391,0.02,87,391,0.0404673,4,1.3,0.3,5
87,Combined_Network,0.9861,0.9861,0.0383,0.0377,0.0045767,0.0046062,395,0.02,88,395,0.0404673,4,1.3,0.3,5
88,Combined_Network,0.9865,0.9866,0.0378,0.037,0.0044555,0.0044443,402,0.02,89,402,0.0404673,4,1.3,0.3,5
89,Combined_Network,0.9865,0.9866,0.0378,0.037,0.0044553,0.004444,404,0.02,90,404,0.0404673,4,1.3,0.3,5
90,Combined_Network,0.9865,0.9866,0.0378,0.037,0.0044553,0.004444,406,0.02,91,406,0.0404673,4,1.3,0.3,5
91,Combined_Network,0.9865,0.9866,0.0377,0.0369,0.0044336,0.0044237,408,0.01,92,408,0.0404673,4,1.3,0.3,5
92,Combined_Network,0.9865,0.9866,0.0377,0.0369,0.004433,0.0044275,421,0.01,93,421,0.0404673,4,1.3,0.3,5
93,Combined_Network,0.9865,0.9866,0.0377,0.0369,0.0044304,0.0044233,424,0.01,94,424,0.0404673,4,1.3,0.3,5
94,Combined_Network,0.9866,0.9864,0.0376,0.0373,0.0044126,0.0045136,428,0.02,95,428,0.0404673,4,1.3,0.3,5
95,Combined_Network,0.9866,0.9865,0.0376,0.0371,0.0044003,0.0044756,433,0.02,96,433,0.0404673,4,1.3,0.3,5
96,Combined_Network,0.9866,0.9865,0.0376,0.0371,0.004401,0.0044753,435,0.02,97,435,0.0404673,4,1.3,0.3,5
97,Combined_Network,0.9866,0.9865,0.0376,0.0371,0.0044008,0.0044754,437,0.02,98,437,0.0404673,4,1.3,0.3,5
98,Combined_Network,0.9867,0.9865,0.0375,0.0371,0.004394,0.0044714,439,0.03,99,439,0.0404673,4,1.3,0.3,5
99,Combined_Network,0.9866,0.9865,0.0375,0.0371,0.0043956,0.0044777,441,0.02,100,441,0.0404673,4,1.3,0.3,5
100,Combined_Network,0.9869,0.9867,0.0372,0.0369,0.0043117,0.0044214,450,0.02,101,450,0.0404673,4,1.3,0.3,5
101,Combined_Network,0.987,0.9867,0.0371,0.0369,0.0042969,0.0044091,459,0.02,102,459,0.0404673,4,1.3,0.3,5
102,Combined_Network,0.9872,0.9871,0.0367,0.0363,0.0042075,0.0042729,464,0.02,103,464,0.0404673,4,1.3,0.3,5
103,Combined_Network,0.9875,0.9875,0.0364,0.0357,0.004128,0.0041442,483,0.02,104,483,0.0404673,4,1.3,0.3,5
104,Combined_Network,0.9875,0.9876,0.0363,0.0356,0.0041177,0.0041156,490,0.02,105,490,0.0404673,4,1.3,0.3,5
105,Combined_Network,0.9877,0.9879,0.036,0.0352,0.0040431,0.0040259,495,0.03,106,495,0.0404673,4,1.3,0.3,5
106,Combined_Network,0.9877,0.9879,0.036,0.0352,0.0040427,0.0040256,498,0.02,107,498,0.0404673,4,1.3,0.3,5
107,Combined_Network,0.9878,0.988,0.036,0.0351,0.0040333,0.0039886,503,0.02,108,503,0.0404673,4,1.3,0.3,5
108,Combined_Network,0.9878,0.988,0.0359,0.0351,0.0040321,0.0039876,506,0.03,109,506,0.0404673,4,1.3,0.3,5
109,Combined_Network,0.9878,0.988,0.0359,0.0351,0.0040317,0.0039872,509,0.02,110,509,0.0404673,4,1.3,0.3,5
110,Combined_Network,0.9878,0.988,0.0359,0.035,0.0040215,0.0039746,518,0.03,111,518,0.0404673,4,1.3,0.3,5
111,Combined_Network,0.9878,0.988,0.0359,0.035,0.0040196,0.003986,523,0.02,112,523,0.0404673,4,1.3,0.3,5
112,Combined_Network,0.9879,0.9881,0.0357,0.0349,0.0039769,0.0039588,532,0.02,113,532,0.0404673,4,1.3,0.3,5
113,Combined_Network,0.9879,0.9881,0.0357,0.0349,0.003977,0.0039585,534,0.02,114,534,0.0404673,4,1.3,0.3,5
114,Combined_Network,0.9879,0.9881,0.0357,0.0349,0.0039743,0.0039537,539,0.03,115,539,0.0404673,4,1.3,0.3,5
115,Combined_Network,0.988,0.9882,0.0356,0.0348,0.0039453,0.0039249,553,0.03,116,553,0.0404673,4,1.3,0.3,5
116,Combined_Network,0.9882,0.9882,0.0353,0.0348,0.0038923,0.003925,557,0.03,117,557,0.0404673,4,1.3,0.3,5
117,Combined_Network,0.9882,0.9882,0.0353,0.0347,0.0038814,0.003916,562,0.03,118,562,0.0404673,4,1.3,0.3,5
118,Combined_Network,0.9883,0.9883,0.0352,0.0346,0.0038565,0.0038921,573,0.03,119,573,0.0404673,4,1.3,0.3,5
119,Combined_Network,0.9884,0.9883,0.035,0.0345,0.0038306,0.0038665,576,0.03,120,576,0.0404673,4,1.3,0.3,5
120,Combined_Network,0.9884,0.9884,0.035,0.0344,0.0038155,0.0038391,579,0.02,121,579,0.0404673,4,1.3,0.3,5
121,Combined_Network,0.9884,0.9884,0.0349,0.0344,0.0038095,0.0038403,582,0.02,122,582,0.0404673,4,1.3,0.3,5
122,Combined_Network,0.9891,0.9891,0.0339,0.0334,0.0035803,0.0036197,590,0.03,123,590,0.0404673,4,1.3,0.3,5
123,Combined_Network,0.9891,0.9891,0.0339,0.0334,0.0035794,0.0036192,592,0.03,124,592,0.0404673,4,1.3,0.3,5
124,Combined_Network,0.9892,0.9891,0.0338,0.0333,0.0035675,0.0036061,597,0.03,125,597,0.0404673,4,1.3,0.3,5
